114年度會計項目代號名稱對照表,
會計項目代號,項目中文名稱
0203450,    減：自本期盈餘分配、撥補虧損及提列法定(特別)盈餘公積之合計金額
0203500,其他權益
0203502,    避險工具之損益
0203503,    國外營運機構財務報表換算之兌換差額
0203504,    未實現重估增值
0203505,    確定福利計畫再衡量數
0203507,    透過其他綜合損益按公允價值衡量之未實現損益
0203508,    員工未賺得酬勞
0203506,    其他權益－其他
0203600,減：庫藏股票
0209000,負債及權益總額  
0300001,期初存貨
0300002,本期進貨（淨額）
0300301,期末存貨
0300302,加：其他
0300303,減：其他
0300009,進銷成本
0300010,期初存料
0300011,本期進料（淨額）
0301201,期末存料
0301202,加：其他（              ）
0301203,減：其他（              ）
0300013,直接原料
0300014,期初存料
0300015,本期進料（淨額）
0301601,期末存料
0301602,加：其他（              ）
0301603,減：其他（              ）
0300017,間接材料
0300018,直接人工
0300019,製造費用
0300020,製造成本
0300021,期初在製品存貨
0302201,期末在製品存貨
0302202,加：其他（              ）
0302203,減：其他（              ）
0300030,製成品成本
0300031,期初製成品存貨
0303201,期末製成品存貨
0303202,加：其他（              ）
0303203,減：其他（              ）
0300033,外銷估列應收退稅或已收退稅款
0300040,產銷成本減項
0300050,產銷成本
0300060,勞務成本
0300070,修理成本
0300080,加工成本
0300081,業務成本
0300085,其他營業成本
0300090,營業成本
04B0001,間接人工
04B0002,租金支出
04B0003,文具用品
04B0004,旅費
04B0005,運費
04B0006,郵電費
04B0007,修繕費
04B0008,包裝費
04B0009,水電瓦斯費
04B0010,保險費
04B0011,加工費
04B0012,稅捐
04B0013,折舊
04B0014,各項耗竭及攤提
04B0015,伙食費
04B0016,職工福利
04B0090,其他製造費用
05C2901,耗材費用
05C2902,薪資費用
05C2903,租金支出
05C2904,文具用品
05C2905,旅費
05C2906,運費
05C2907,郵電費
05C2908,修繕費
05C2909,水電瓦斯費
05C2910,保險費
05C2911,交際費
05C2912,稅捐
05C2913,折舊
05C2914,各項耗竭及攤提
05C2915,伙食費
05C2916,職工福利
05C2917,權利金
05C2918,勞務費
05C2919,訓練費
05C2920,其他研究發展費用
